Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
2026-02-22 9:25 PM,1,-$120.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-02-22 10:30 PM,2,-$230.00,-$110.00,n/a,n/a,$0.00,-$230.00,-$110.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$110.00,$105.00,$215.00,n/a,
2026-02-23 9:23 PM,3,$100.00,$330.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$75.00,$385.00,$55.00,n/a,
2026-02-23 9:37 PM,4,$410.00,$310.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$310.00,$0.00,n/a,
2026-02-23 11:38 PM,5,$285.00,-$125.00,n/a,n/a,$0.00,-$125.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$65.00,$190.00,n/a,
2026-02-24 1:17 AM,6,$165.00,-$120.00,n/a,n/a,$0.00,-$245.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-02-24 8:34 PM,7,$45.00,-$120.00,n/a,n/a,$0.00,-$365.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$70.00,$190.00,n/a,
2026-02-24 9:07 PM,8,$345.00,$300.00,n/a,n/a,$0.00,-$65.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$110.00,$300.00,$0.00,n/a,
2026-02-24 9:19 PM,9,$655.00,$310.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$20.00,$310.00,$0.00,n/a,
2026-02-24 10:46 PM,10,$550.00,-$105.00,n/a,n/a,$0.00,-$105.00,-$105.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$105.00,$75.00,$180.00,n/a,
2026-02-24 11:50 PM,11,$515.00,-$35.00,n/a,n/a,$0.00,-$140.00,-$35.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$90.00,$0.00,$35.00,n/a,
2026-02-25 12:02 AM,12,$410.00,-$105.00,n/a,n/a,$0.00,-$245.00,-$105.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$105.00,$125.00,$230.00,n/a,
2026-02-25 8:00 PM,13,$715.00,$305.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$305.00,$0.00,n/a,
2026-02-25 8:55 PM,14,$595.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$65.00,$185.00,n/a,
2026-02-25 10:06 PM,15,$495.00,-$100.00,n/a,n/a,$0.00,-$220.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$145.00,$245.00,n/a,
2026-02-26 7:14 PM,16,$795.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$10.00,$300.00,$0.00,n/a,
2026-02-26 7:57 PM,17,$1105.00,$310.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$20.00,$310.00,$0.00,n/a,
2026-02-26 8:11 PM,18,$985.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$15.00,$135.00,n/a,
2026-02-26 8:23 PM,19,$855.00,-$130.00,n/a,n/a,$0.00,-$250.00,-$130.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$130.00,$140.00,$270.00,n/a,
2026-03-01 9:44 PM,20,$1155.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$70.00,$300.00,$0.00,n/a,
2026-03-01 10:13 PM,21,$1035.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-03-02 12:17 AM,22,$1270.00,$235.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$65.00,$300.00,$65.00,n/a,
2026-03-02 1:55 AM,23,$1140.00,-$130.00,n/a,n/a,$0.00,-$130.00,-$130.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$130.00,$30.00,$160.00,n/a,
2026-03-02 6:38 AM,24,$1035.00,-$105.00,n/a,n/a,$0.00,-$235.00,-$105.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$110.00,$110.00,$215.00,n/a,
2026-03-02 8:21 PM,25,$1340.00,$305.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$95.00,$305.00,$0.00,n/a,
2026-03-02 11:20 PM,26,$1240.00,-$100.00,n/a,n/a,$0.00,-$100.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$240.00,$340.00,n/a,
2026-03-02 11:37 PM,27,$1140.00,-$100.00,n/a,n/a,$0.00,-$200.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$0.00,$100.00,n/a,
2026-03-03 7:59 PM,28,$1020.00,-$120.00,n/a,n/a,$0.00,-$320.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$85.00,$205.00,n/a,
2026-03-03 10:30 PM,29,$880.00,-$140.00,n/a,n/a,$0.00,-$460.00,-$140.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$140.00,$30.00,$170.00,n/a,
2026-03-04 8:14 PM,30,$760.00,-$120.00,n/a,n/a,$0.00,-$580.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$10.00,$130.00,n/a,
2026-03-04 11:06 PM,31,$655.00,-$105.00,n/a,n/a,$0.00,-$685.00,-$105.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$105.00,$210.00,$315.00,n/a,
2026-03-05 6:27 PM,32,$555.00,-$100.00,n/a,n/a,$0.00,-$785.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$60.00,$160.00,n/a,
2026-03-05 7:03 PM,33,$425.00,-$130.00,n/a,n/a,$0.00,-$915.00,-$130.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$130.00,$0.00,$130.00,n/a,
2026-03-08 9:43 PM,34,$700.00,$275.00,n/a,n/a,$0.00,-$640.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$30.00,$330.00,$55.00,n/a,
2026-03-08 10:51 PM,35,$580.00,-$120.00,n/a,n/a,$0.00,-$760.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$70.00,$190.00,n/a,
2026-03-08 11:10 PM,36,$455.00,-$125.00,n/a,n/a,$0.00,-$885.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$35.00,$160.00,n/a,
2026-03-09 8:00 PM,37,$755.00,$300.00,n/a,n/a,$0.00,-$585.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$35.00,$300.00,$0.00,n/a,
2026-03-09 9:00 PM,38,$1305.00,$550.00,n/a,n/a,$0.00,-$35.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$550.00,$0.00,n/a,
2026-03-09 9:33 PM,39,$1185.00,-$120.00,n/a,n/a,$0.00,-$155.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-03-09 9:54 PM,40,$1060.00,-$125.00,n/a,n/a,$0.00,-$280.00,-$125.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$125.00,$25.00,$150.00,n/a,
2026-03-10 9:30 PM,41,$940.00,-$120.00,n/a,n/a,$0.00,-$400.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$0.00,$120.00,n/a,
2026-03-10 10:57 PM,42,$835.00,-$105.00,n/a,n/a,$0.00,-$505.00,-$105.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$105.00,$145.00,$250.00,n/a,
2026-03-11 8:07 PM,43,$1140.00,$305.00,n/a,n/a,$0.00,-$200.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$15.00,$305.00,$0.00,n/a,
2026-03-11 8:37 PM,44,$1700.00,$560.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$560.00,$0.00,n/a,
2026-03-12 1:50 AM,45,$1875.00,$175.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$45.00,$250.00,$75.00,n/a,
2026-03-12 5:40 AM,46,$2105.00,$230.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$295.00,$65.00,n/a,
2026-03-12 6:46 PM,47,$2120.00,$15.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$60.00,$235.00,$220.00,n/a,
2026-03-12 6:49 PM,48,$2000.00,-$120.00,n/a,n/a,$0.00,-$120.00,-$120.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$120.00,$95.00,$215.00,n/a,
2026-03-12 9:00 PM,49,$2300.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$70.00,$300.00,$0.00,n/a,
2026-03-12 11:42 PM,50,$2200.00,-$100.00,n/a,n/a,$0.00,-$100.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$285.00,$385.00,n/a,
2026-03-13 12:23 AM,51,$2500.00,$300.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.00,$300.00,$0.00,n/a,
2026-03-13 5:45 AM,52,$2365.00,-$135.00,n/a,n/a,$0.00,-$135.00,-$135.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$135.00,$15.00,$150.00,n/a,
2026-03-13 6:13 AM,53,$2265.00,-$100.00,n/a,n/a,$0.00,-$235.00,-$100.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$100.00,$265.00,$365.00,n/a,
2026-03-15 8:49 PM,54,$2575.00,$310.00,n/a,n/a,$0.00,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$70.00,$310.00,$0.00,n/a,
